TS --> 11_October_2019_17_26_8, Endpoint --> /user/register, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_26_9, Endpoint --> /user/register, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_26_24, Endpoint --> /user/login, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_26_24, Endpoint --> /user/login, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_26_24, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_26_24, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_17_28_37, Endpoint --> /user/register, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_28_37, Endpoint --> /user/register, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_28_49, Endpoint --> /user/login, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_28_49, Endpoint --> /user/login, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_28_49, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_28_49, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_17_28_55, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_28_55, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_28_55, Endpoint --> /question/fetchQuestions/JS001, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_28_55, Endpoint --> /question/fetchQuestions/JS001, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_17_29_13, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_29_13, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_29_14, Endpoint --> /question/fetchQuestions/JS001, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_29_14, Endpoint --> /question/fetchQuestions/JS001, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_17_29_45, Endpoint --> /result/submit, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_29_45, Endpoint --> /result/submit, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_29_48, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_29_48, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_32_14, Endpoint --> /user/login, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_32_14, Endpoint --> /user/login, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_17_32_14, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_32_14, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_17_32_32, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_17_32_32, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
